"mat.nr","name","gender","birthday","course","semester","subject","attempt","score"
"463237","Blanco, Keith","m",1996-01-01,"Ba BIS",9,"Data Bases",1,89
"374561","Chase-Knox, David","m",1992-06-25,"Ba CS",4,"OOP",1,57
"623791","al-Kamal, Jadeeda","f",2004-03-21,"Ba CS",5,"Formal Languages",1,77
"219180","Bornschein, Bryan","m",1991-01-18,"Ba CS",7,"Formal Languages",1,58
"971690","Robinson, Mahlon","m",1999-12-08,"Ba BIS",10,"Computer Networks",1,83
"862626","Yu, Justin","m",1990-03-20,"Ba CS",5,"Software Engineering",1,44
"371424","Onofre-Dominguez, Vicente","m",1990-08-24,"Ba BIS",14,"Computer Networks",1,75
"756289","Garnier, Austin","m",2000-07-04,"Ba CS",4,"OOP",1,63
"537027","Beaulieu, Tanner","m",1992-10-16,"Ba CS",4,"Mathematics",1,52
"747092","Pavlik, Nicholas","m",2003-10-23,"Ba CS",4,"Mathematics",1,53
"744549","el-Hosein, Maa'iz","m",2004-07-14,"Ba CS",4,"Software Engineering",1,79
"591907","Gurule, Robert","m",1998-03-08,"Ba CS",4,"Data Bases",1,113
"372417","Martinez, Kendra","f",1996-03-22,"Ba CS",5,"Data Bases",1,103
"116091","Lopez Navas, Craig","m",1994-08-17,"Ba CS",8,"Mathematics",1,109
"261231","Kirby, Dominic","m",1998-08-24,"Ba CS",18,"Formal Languages",1,67
"506935","Bui, Ana Seini","f",2002-11-03,"Ba BIS",17,"OOP",1,92
"303980","Gonzalez Morales, Michael","m",2003-04-27,"Ba CS",7,"Formal Languages",1,57
"772571","al-Sadri, Zufar","m",2001-10-07,"Ba CS",4,"OOP",1,83
"950293","Herrera, Joeal","m",1995-03-05,"Ba CS",11,"Mathematics",1,91
"557205","Hasan, Nicole","f",2002-04-08,"Ba CS",5,"Data Bases",1,81
"396520","Thomas, Jordan","m",1997-02-15,"Ba BIS",8,"OOP",1,59
"658349","Vargas, Gilbert","m",1998-02-18,"Ba CS",2,"Mathematics",1,63
"991642","Rodriguez, Adrian","m",1990-05-07,"Ba CS",8,"Formal Languages",1,89
"971690","Robinson, Mahlon","m",1999-12-08,"Ba BIS",10,"Software Engineering",1,78
"234800","Orona, Stephenie","f",1998-02-28,"Ba BIS",8,"Computer Networks",1,83
"264601","Sechereh, Turell","m",1991-10-18,"Ba BIS",4,"Formal Languages",1,57
"264601","Sechereh, Turell","m",1991-10-18,"Ba BIS",4,"Data Bases",1,58
"533091","al-Ismail, Razeen","m",2002-06-05,"Ba CS",1,"Software Engineering",1,88
"591907","Gurule, Robert","m",1998-03-08,"Ba CS",4,"OOP",1,91
"539533","Virmani, Bryan","m",1999-08-17,"Ba CS",10,"Formal Languages",1,58
"766514","Lopez, Juan","m",2000-10-10,"Ba CS",8,"OOP",1,50
"560613","el-Laham, Raakaan","m",1997-02-11,"Ba CS",4,"Software Engineering",1,39
"575542","el-Bina, Talha","m",1997-02-13,"Ba CS",2,"Mathematics",1,66
"190889","Bentley, Michael","m",1993-07-04,"Ba CS",2,"Data Bases",1,66
"654126","Cabral, Natalie","f",1993-04-21,"Ba CS",17,"Data Bases",1,67
"611151","Chun, Jonathan","m",2001-01-19,"Ba BIS",8,"OOP",1,60
"287937","Garcia, Tucker","m",1998-05-11,"Ba CS",1,"OOP",1,71
"521412","Purnell, Richard","m",1997-12-18,"Ba CS",4,"Software Engineering",1,86
"906216","Nguyen, Kaleb","m",1992-11-16,"Ba BIS",15,"Software Engineering",1,54
"954067","el-Rizk, Abdul Haadi","m",1994-11-30,"Ba CS",10,"Data Bases",1,51
"506935","Bui, Ana Seini","f",2002-11-03,"Ba BIS",17,"Software Engineering",1,81
"476166","Badback, Kelly","m",1992-06-09,"Ba CS",2,"OOP",1,66
"575542","el-Bina, Talha","m",1997-02-13,"Ba CS",2,"Data Bases",1,54
"441363","Ezzat, Gerrison","m",2000-09-23,"Ba BIS",4,"OOP",1,55
"827641","al-Hoda, Khaleefa","m",1993-08-11,"Ba BIS",19,"Formal Languages",1,77
"135387","Johnson, Holly","f",1994-11-08,"Ba CS",8,"Mathematics",1,86
"970277","Schell, Regal","m",1990-04-04,"Ba CS",6,"Mathematics",1,64
"145871","Hayman, Kellen","m",1992-02-26,"Ba CS",4,"OOP",1,67
"114000","Glass, Kaitlyn","f",1990-03-13,"Ba CS",5,"Data Bases",1,54
"261136","Wilcox, Justin","m",2002-03-20,"Ba CS",8,"Formal Languages",1,72
"979346","Boyd, Chrisna","m",1992-02-14,"Ba CS",5,"OOP",1,69
"215348","Willson, Cole","m",1996-05-09,"Ba CS",4,"Software Engineering",1,97
"290618","Stoyanov, Cody","m",1990-05-28,"Ba CS",8,"Data Bases",1,94
"153350","al-Khalid, Manaahil","f",2001-06-05,"Ba BIS",7,"Formal Languages",1,49
"413689","Burton, Lawrence","m",2003-11-14,"Ba CS",10,"Computer Networks",1,59
"983544","Banks, Eric","m",1994-04-17,"Ba BIS",2,"Data Bases",1,80
"870030","Han, Atif","m",1999-10-21,"Ba BIS",4,"Data Bases",1,58
"700972","Roberts, Gilberto","m",2000-12-22,"Ba CS",2,"Software Engineering",1,59
"668928","Salter, Jaylen","m",2004-03-20,"Ba CS",10,"Software Engineering",1,68
"983544","Banks, Eric","m",1994-04-17,"Ba BIS",2,"Mathematics",1,96
"941692","Yang, Judy","f",1997-08-10,"Ba CS",8,"Data Bases",1,93
"321661","Gettler, Nathan","m",1990-10-27,"Ba CS",7,"Computer Networks",1,70
"713903","Santistevan, Jaqueline","f",1994-02-08,"Ba CS",6,"Formal Languages",1,107
"645061","Williamson, Michael","m",1999-07-24,"Ba BIS",11,"Data Bases",1,58
"789684","Yellowhawk, Edward","m",2003-10-21,"Ba CS",8,"Mathematics",1,73
"960787","Moreno-Fonseca, Raul","m",1999-08-01,"Ba BIS",5,"Software Engineering",1,80
"601915","Quezada, Carlos","m",1998-07-18,"Ba CS",16,"OOP",1,74
"275208","Jordan, Pete","m",2000-05-10,"Ba CS",12,"Computer Networks",1,93
"783566","Lee, Nicholas","m",1992-03-07,"Ba CS",4,"Mathematics",1,84
"341804","Xue, Adam","m",1999-03-10,"Ba CS",11,"Data Bases",1,95
"732992","Tolliver, Noah","m",1994-02-09,"Ba BIS",6,"Data Bases",1,77
"783566","Lee, Nicholas","m",1992-03-07,"Ba CS",4,"Computer Networks",1,83
"956265","el-Mansoor, Abdul Wahaab","m",2000-03-11,"Ba CS",10,"Computer Networks",1,76
